Day,Cause,id
15 jul 2024,HAZARD,10
16 jul 2024,ACCIDENT,1
16 jul 2024,HAZARD,11
17 jul 2024,HAZARD,42
17 jul 2024,ACCIDENT,1
18 jul 2024,HAZARD,26
19 jul 2024,HAZARD,7
19 jul 2024,ACCIDENT,5
20 jul 2024,HAZARD,29
22 jul 2024,HAZARD,3
24 jul 2024,HAZARD,6
25 jul 2024,ACCIDENT,8
25 jul 2024,HAZARD,12
26 jul 2024,ACCIDENT,1
26 jul 2024,HAZARD,4
27 jul 2024,ACCIDENT,2
27 jul 2024,HAZARD,9
28 jul 2024,HAZARD,2
29 jul 2024,HAZARD,5
30 jul 2024,HAZARD,2
31 jul 2024,HAZARD,13
31 jul 2024,ACCIDENT,1
1 ago 2024,HAZARD,18
2 ago 2024,HAZARD,56
3 ago 2024,HAZARD,24
3 ago 2024,ACCIDENT,2
4 ago 2024,HAZARD,10
5 ago 2024,HAZARD,22
5 ago 2024,ACCIDENT,1
6 ago 2024,HAZARD,12
7 ago 2024,HAZARD,5
7 ago 2024,ACCIDENT,1
8 ago 2024,HAZARD,5
9 ago 2024,ACCIDENT,1
9 ago 2024,HAZARD,21
10 ago 2024,HAZARD,14
11 ago 2024,HAZARD,2
12 ago 2024,HAZARD,22
14 ago 2024,HAZARD,9
15 ago 2024,ACCIDENT,1
15 ago 2024,HAZARD,11
16 ago 2024,HAZARD,21
17 ago 2024,ACCIDENT,2
17 ago 2024,HAZARD,12
18 ago 2024,HAZARD,5
19 ago 2024,HAZARD,35
20 ago 2024,HAZARD,4
21 ago 2024,HAZARD,7
22 ago 2024,ACCIDENT,4
22 ago 2024,HAZARD,14
23 ago 2024,HAZARD,31
23 ago 2024,ACCIDENT,1
24 ago 2024,HAZARD,8
25 ago 2024,HAZARD,2
26 ago 2024,ACCIDENT,2
26 ago 2024,HAZARD,6
27 ago 2024,HAZARD,8
28 ago 2024,HAZARD,17
28 ago 2024,ACCIDENT,2
29 ago 2024,ACCIDENT,1
29 ago 2024,HAZARD,11
30 ago 2024,ACCIDENT,2
30 ago 2024,HAZARD,34
31 ago 2024,ACCIDENT,2
31 ago 2024,HAZARD,16
1 sept 2024,HAZARD,4
2 sept 2024,ACCIDENT,4
2 sept 2024,HAZARD,18
3 sept 2024,HAZARD,17
4 sept 2024,HAZARD,10
5 sept 2024,HAZARD,21
5 sept 2024,ACCIDENT,3
