,date,precipitation_sum,rain_sum
0,2024-01-01 06:00:00+00:00,0.0,0.0
1,2024-01-02 06:00:00+00:00,0.0,0.0
2,2024-01-03 06:00:00+00:00,0.0,0.0
3,2024-01-04 06:00:00+00:00,0.0,0.0
4,2024-01-05 06:00:00+00:00,0.0,0.0
5,2024-01-06 06:00:00+00:00,0.0,0.0
6,2024-01-07 06:00:00+00:00,0.0,0.0
7,2024-01-08 06:00:00+00:00,0.1,0.1
8,2024-01-09 06:00:00+00:00,0.0,0.0
9,2024-01-10 06:00:00+00:00,0.0,0.0
10,2024-01-11 06:00:00+00:00,0.0,0.0
11,2024-01-12 06:00:00+00:00,0.0,0.0
12,2024-01-13 06:00:00+00:00,0.0,0.0
13,2024-01-14 06:00:00+00:00,0.0,0.0
14,2024-01-15 06:00:00+00:00,0.0,0.0
15,2024-01-16 06:00:00+00:00,0.0,0.0
16,2024-01-17 06:00:00+00:00,0.0,0.0
17,2024-01-18 06:00:00+00:00,0.0,0.0
18,2024-01-19 06:00:00+00:00,0.0,0.0
19,2024-01-20 06:00:00+00:00,1.6,1.6
20,2024-01-21 06:00:00+00:00,0.0,0.0
21,2024-01-22 06:00:00+00:00,0.0,0.0
22,2024-01-23 06:00:00+00:00,0.0,0.0
23,2024-01-24 06:00:00+00:00,0.0,0.0
24,2024-01-25 06:00:00+00:00,0.0,0.0
25,2024-01-26 06:00:00+00:00,0.0,0.0
26,2024-01-27 06:00:00+00:00,0.0,0.0
27,2024-01-28 06:00:00+00:00,0.0,0.0
28,2024-01-29 06:00:00+00:00,0.0,0.0
29,2024-01-30 06:00:00+00:00,0.1,0.1
30,2024-01-31 06:00:00+00:00,0.6,0.6
31,2024-02-01 06:00:00+00:00,0.0,0.0
32,2024-02-02 06:00:00+00:00,0.0,0.0
33,2024-02-03 06:00:00+00:00,0.0,0.0
34,2024-02-04 06:00:00+00:00,0.0,0.0
35,2024-02-05 06:00:00+00:00,0.0,0.0
36,2024-02-06 06:00:00+00:00,0.0,0.0
37,2024-02-07 06:00:00+00:00,0.0,0.0
38,2024-02-08 06:00:00+00:00,0.0,0.0
39,2024-02-09 06:00:00+00:00,0.0,0.0
40,2024-02-10 06:00:00+00:00,0.0,0.0
41,2024-02-11 06:00:00+00:00,0.0,0.0
42,2024-02-12 06:00:00+00:00,0.0,0.0
43,2024-02-13 06:00:00+00:00,3.8000002,3.8000002
44,2024-02-14 06:00:00+00:00,1.8000001,1.8000001
45,2024-02-15 06:00:00+00:00,0.70000005,0.70000005
46,2024-02-16 06:00:00+00:00,26.600002,26.600002
47,2024-02-17 06:00:00+00:00,1.1000001,1.1000001
48,2024-02-18 06:00:00+00:00,0.0,0.0
49,2024-02-19 06:00:00+00:00,0.0,0.0
50,2024-02-20 06:00:00+00:00,0.0,0.0
51,2024-02-21 06:00:00+00:00,0.0,0.0
52,2024-02-22 06:00:00+00:00,0.0,0.0
53,2024-02-23 06:00:00+00:00,0.0,0.0
54,2024-02-24 06:00:00+00:00,0.0,0.0
55,2024-02-25 06:00:00+00:00,0.0,0.0
56,2024-02-26 06:00:00+00:00,0.0,0.0
57,2024-02-27 06:00:00+00:00,0.0,0.0
58,2024-02-28 06:00:00+00:00,0.0,0.0
59,2024-02-29 06:00:00+00:00,0.0,0.0
60,2024-03-01 06:00:00+00:00,0.0,0.0
61,2024-03-02 06:00:00+00:00,0.0,0.0
62,2024-03-03 06:00:00+00:00,0.0,0.0
63,2024-03-04 06:00:00+00:00,0.0,0.0
64,2024-03-05 06:00:00+00:00,0.0,0.0
65,2024-03-06 06:00:00+00:00,0.0,0.0
66,2024-03-07 06:00:00+00:00,0.0,0.0
67,2024-03-08 06:00:00+00:00,0.0,0.0
68,2024-03-09 06:00:00+00:00,0.0,0.0
69,2024-03-10 06:00:00+00:00,0.0,0.0
70,2024-03-11 06:00:00+00:00,0.0,0.0
71,2024-03-12 06:00:00+00:00,0.0,0.0
72,2024-03-13 06:00:00+00:00,0.0,0.0
73,2024-03-14 06:00:00+00:00,0.0,0.0
74,2024-03-15 06:00:00+00:00,0.0,0.0
75,2024-03-16 06:00:00+00:00,0.0,0.0
76,2024-03-17 06:00:00+00:00,0.0,0.0
77,2024-03-18 06:00:00+00:00,0.0,0.0
78,2024-03-19 06:00:00+00:00,0.0,0.0
79,2024-03-20 06:00:00+00:00,0.0,0.0
80,2024-03-21 06:00:00+00:00,0.0,0.0
81,2024-03-22 06:00:00+00:00,0.0,0.0
82,2024-03-23 06:00:00+00:00,0.0,0.0
83,2024-03-24 06:00:00+00:00,0.0,0.0
84,2024-03-25 06:00:00+00:00,0.0,0.0
85,2024-03-26 06:00:00+00:00,0.0,0.0
86,2024-03-27 06:00:00+00:00,0.0,0.0
87,2024-03-28 06:00:00+00:00,0.0,0.0
88,2024-03-29 06:00:00+00:00,0.0,0.0
89,2024-03-30 06:00:00+00:00,0.0,0.0
90,2024-03-31 06:00:00+00:00,0.0,0.0
91,2024-04-01 06:00:00+00:00,0.0,0.0
92,2024-04-02 06:00:00+00:00,0.0,0.0
93,2024-04-03 06:00:00+00:00,0.0,0.0
94,2024-04-04 06:00:00+00:00,0.0,0.0
95,2024-04-05 06:00:00+00:00,0.0,0.0
96,2024-04-06 06:00:00+00:00,0.0,0.0
97,2024-04-07 06:00:00+00:00,0.0,0.0
98,2024-04-08 06:00:00+00:00,0.0,0.0
99,2024-04-09 06:00:00+00:00,0.0,0.0
100,2024-04-10 06:00:00+00:00,0.0,0.0
101,2024-04-11 06:00:00+00:00,0.0,0.0
102,2024-04-12 06:00:00+00:00,0.0,0.0
103,2024-04-13 06:00:00+00:00,0.0,0.0
104,2024-04-14 06:00:00+00:00,0.0,0.0
105,2024-04-15 06:00:00+00:00,0.0,0.0
106,2024-04-16 06:00:00+00:00,0.0,0.0
107,2024-04-17 06:00:00+00:00,0.0,0.0
108,2024-04-18 06:00:00+00:00,0.0,0.0
109,2024-04-19 06:00:00+00:00,0.0,0.0
110,2024-04-20 06:00:00+00:00,0.0,0.0
111,2024-04-21 06:00:00+00:00,0.0,0.0
112,2024-04-22 06:00:00+00:00,0.0,0.0
113,2024-04-23 06:00:00+00:00,0.0,0.0
114,2024-04-24 06:00:00+00:00,0.0,0.0
115,2024-04-25 06:00:00+00:00,0.0,0.0
116,2024-04-26 06:00:00+00:00,0.0,0.0
117,2024-04-27 06:00:00+00:00,0.0,0.0
118,2024-04-28 06:00:00+00:00,0.0,0.0
119,2024-04-29 06:00:00+00:00,0.0,0.0
120,2024-04-30 06:00:00+00:00,0.0,0.0
121,2024-05-01 06:00:00+00:00,0.0,0.0
122,2024-05-02 06:00:00+00:00,0.0,0.0
123,2024-05-03 06:00:00+00:00,0.0,0.0
124,2024-05-04 06:00:00+00:00,0.0,0.0
125,2024-05-05 06:00:00+00:00,0.0,0.0
126,2024-05-06 06:00:00+00:00,0.0,0.0
127,2024-05-07 06:00:00+00:00,0.0,0.0
128,2024-05-08 06:00:00+00:00,0.0,0.0
129,2024-05-09 06:00:00+00:00,0.0,0.0
130,2024-05-10 06:00:00+00:00,0.0,0.0
131,2024-05-11 06:00:00+00:00,0.0,0.0
132,2024-05-12 06:00:00+00:00,0.0,0.0
133,2024-05-13 06:00:00+00:00,0.0,0.0
134,2024-05-14 06:00:00+00:00,0.0,0.0
135,2024-05-15 06:00:00+00:00,0.0,0.0
136,2024-05-16 06:00:00+00:00,0.0,0.0
137,2024-05-17 06:00:00+00:00,0.0,0.0
138,2024-05-18 06:00:00+00:00,0.0,0.0
139,2024-05-19 06:00:00+00:00,0.0,0.0
140,2024-05-20 06:00:00+00:00,0.0,0.0
141,2024-05-21 06:00:00+00:00,0.0,0.0
142,2024-05-22 06:00:00+00:00,0.0,0.0
143,2024-05-23 06:00:00+00:00,0.0,0.0
144,2024-05-24 06:00:00+00:00,0.0,0.0
145,2024-05-25 06:00:00+00:00,0.0,0.0
146,2024-05-26 06:00:00+00:00,0.0,0.0
147,2024-05-27 06:00:00+00:00,0.0,0.0
148,2024-05-28 06:00:00+00:00,0.0,0.0
149,2024-05-29 06:00:00+00:00,0.0,0.0
150,2024-05-30 06:00:00+00:00,0.0,0.0
151,2024-05-31 06:00:00+00:00,0.0,0.0
152,2024-06-01 06:00:00+00:00,0.0,0.0
153,2024-06-02 06:00:00+00:00,0.0,0.0
154,2024-06-03 06:00:00+00:00,0.0,0.0
155,2024-06-04 06:00:00+00:00,0.0,0.0
156,2024-06-05 06:00:00+00:00,0.0,0.0
157,2024-06-06 06:00:00+00:00,0.0,0.0
