,Date,Country,City,Street,Latitude,Longitude
40670,30 abr 2025,MX,Guadalajara,Av. Fray Antonio Alcalde,20.694039,-103.348389
40671,30 abr 2025,MX,Guadalajara,Av. Fray Antonio Alcalde,20.712756,-103.346198
40672,30 abr 2025,MX,Guadalajara,Av. General Eulogio Parra,20.687198,-103.379563
40673,30 abr 2025,MX,Guadalajara,Av. Chapultepec,20.667737,-103.368401
40674,30 abr 2025,MX,Zapopan,Av. CUCBA,20.74113,-103.513443
40675,30 abr 2025,MX,Zapopan,Av. Central Guillermo Gonzalez Camarena,20.722725,-103.430368
40676,30 abr 2025,MX,Guadalajara,Av. Chapultepec,20.673351,-103.368522
40677,30 abr 2025,MX,Zapopan,Av. General Ramón Corona,20.731422,-103.454272
40678,30 abr 2025,MX,Guadalajara,Av. Gobernador Luis G. Curiel,20.642934,-103.352273
40679,30 abr 2025,MX,Zapopan,Av. Circuito del Bosque,20.718563,-103.47871
40680,30 abr 2025,MX,Guadalajara,Av. Gobernador Luis G. Curiel,20.645456,-103.358418
40681,30 abr 2025,MX,Tlaquepaque,Av. González Gallo,20.626165,-103.320806
40682,30 abr 2025,MX,Zapopan,Av. Circuito del Bosque,20.718701,-103.478777
40683,30 abr 2025,MX,Guadalajara,Av. González Gallo Derecha,20.656967,-103.342916
40684,30 abr 2025,MX,Zapopan,Periférico Nte. Manuel Gómez Morín,20.73667,-103.37244
40685,30 abr 2025,MX,Zapopan,Periférico Nte. Manuel Gómez Morín,20.722271,-103.421495
40686,30 abr 2025,MX,Guadalajara,Av. González Gallo Derecha,20.652893,-103.338006
40687,30 abr 2025,MX,Tlaquepaque,Av. Conchita,20.633325,-103.398147
40688,30 abr 2025,MX,Zapopan,Av. Central Guillermo Gonzalez Camarena,20.721079,-103.430369
40689,30 abr 2025,MX,Guadalajara,Av. González Gallo Izquierda,20.654562,-103.340284
40690,30 abr 2025,MX,Guadalajara,Av. González Gallo Izquierda,20.636144,-103.326985
40691,30 abr 2025,MX,Tlaquepaque,Av. Cristóbal Colón,20.602829,-103.403796
40692,30 abr 2025,MX,Guadalajara,Av. González Gallo Izquierda,20.662115,-103.34846
40693,30 abr 2025,MX,Zapopan,Periférico Nte. Manuel Gómez Morín,20.732184,-103.410589
40694,30 abr 2025,MX,Guadalajara,Av. Cristóbal Colón,20.623948,-103.387582
40695,30 abr 2025,MX,Tlaquepaque,Av. González Gallo Izquierda,20.626444,-103.320837
40696,30 abr 2025,MX,Zapopan,Av. Guadalajara,20.76749,-103.42051
40697,30 abr 2025,MX,Zapopan,Periférico Nte. Manuel Gómez Morín,20.740281,-103.397717
40698,30 abr 2025,MX,Zapopan,Av. Guadalajara,20.759558,-103.430302
40699,30 abr 2025,MX,Zapopan,Av. Central Guillermo Gonzalez Camarena,20.721695,-103.430534
40700,30 abr 2025,MX,Guadalajara,Av. Cristóbal Colón,20.64107,-103.374458
40701,30 abr 2025,MX,Zapopan,Av. Guadalajara,20.759593,-103.430227
40702,30 abr 2025,MX,Zapopan,Periférico Nte. Manuel Gómez Morín,20.728687,-103.414464
40703,30 abr 2025,MX,Guadalajara,Av. Cristóbal Colón,20.628996,-103.383483
40704,30 abr 2025,MX,Zapopan,Periférico Nte. Manuel Gómez Morín,20.736962,-103.373551
40705,30 abr 2025,MX,Zapopan,Av. Guadalajara Sur,20.758733,-103.432789
40706,30 abr 2025,MX,Zapopan,Av. Central Guillermo Gonzalez Camarena,20.727597,-103.431005
40707,30 abr 2025,MX,Zapopan,Av. Guadalajara Sur,20.758752,-103.432816
40708,30 abr 2025,MX,Zapopan,Av. Guadalupe,20.660555,-103.431662
40709,30 abr 2025,MX,Zapopan,Av. Guadalupe,20.62848,-103.460607
40710,30 abr 2025,MX,Guadalajara,Periférico Nte. Manuel Gómez Morín,20.721848,-103.326779
40711,30 abr 2025,MX,Zapopan,Av. Central Guillermo Gonzalez Camarena,20.727584,-103.431005
40712,30 abr 2025,MX,Guadalajara,Av. Cristóbal Colón,20.652571,-103.364937
40713,30 abr 2025,MX,Zapopan,Av. Guadalupe,20.658869,-103.440073
40714,30 abr 2025,MX,Zapopan,Av. Guadalupe,20.662556,-103.422381
40715,30 abr 2025,MX,Guadalajara,Periférico Nte. Manuel Gómez Morín,20.725235,-103.336548
40716,30 abr 2025,MX,Zapopan,Av. Guadalupe,20.658851,-103.439865
40717,30 abr 2025,MX,Tlaquepaque,Av. Cruz del Sur,20.635494,-103.397817
40718,30 abr 2025,MX,Zapopan,Av. Guadalupe,20.660311,-103.431862
40719,30 abr 2025,MX,Zapopan,Periférico Pte.,20.661845,-103.448747
40720,30 abr 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.719296,-103.425007
40721,30 abr 2025,MX,Zapopan,Av. Guadalupe,20.627427,-103.460858
40722,30 abr 2025,MX,Guadalajara,Av. Cruz del Sur,20.652645,-103.372545
40723,30 abr 2025,MX,Guadalajara,Av. Cruz del Sur,20.636937,-103.396242
40724,30 abr 2025,MX,Zapopan,Av. Central Guillermo Gonzalez Camarena,20.722781,-103.430181
40725,30 abr 2025,MX,Zapopan,Av. Hidalgo,20.721138,-103.387862
40726,30 abr 2025,MX,Zapopan,Av. Hidalgo,20.721487,-103.390156
40727,30 abr 2025,MX,Zapopan,Av. Cuauhtémoc,20.646049,-103.407891
40728,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.687531,-103.445376
40729,30 abr 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.718522,-103.425876
40730,30 abr 2025,MX,Guadalajara,Av. Dr. Roberto Michel,20.650954,-103.342041
40731,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.691773,-103.45077
40732,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.676615,-103.410636
40733,30 abr 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.647521,-103.442906
40734,30 abr 2025,MX,Guadalajara,Av. Ignacio L. Vallarta,20.674417,-103.385185
