Date,Country,Street,LATITUDE,LONGITUDE,Date_cleaned,DatePython,Date_numeric,WeekdayNum,Weekday,Month,WeekNum
2 jun 2025,JM,A2 - Spur Tree Rd,18.009012,-77.582765,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,Barbican Rd,18.02793,-76.767049,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,Humber Rd,18.470993,-77.915553,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,Municipal Blvd,18.006651,-76.895257,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,B5 - Shooters Hill to Caines Shop Rd,18.1524,-77.501676,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,A2 - Tombstone to Gutters Rd,18.066024,-77.730429,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,T3 - Edward Seaga Highway,18.028422,-76.944252,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,Dome St,18.472696,-77.918283,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,A3 (S) - Constant Spring Rd,18.025704,-76.796387,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,T1 (W) - East West Hwy,17.93196,-77.191125,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,A2 E - Dunrobin Ave,18.0254,-76.800311,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,Exchange Rd,18.410022,-77.069823,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,A1 - North Coast Highway,18.447925,-77.226059,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,Salt Island Rd,17.986728,-76.960775,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,A3 - Stony Hill Rd,18.063765,-76.786807,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,Camperdown Rd,17.975562,-76.771081,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,T1 (W) - East West Hwy,17.991317,-76.899921,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,Bernard Lodge Main Rd,17.990655,-76.948121,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,Municipal Blvd,18.008276,-76.894927,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,A2 - Old Harbour Rd,17.986964,-76.99209,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,A4 - White Horses to Rozelle Rd,17.872237,-76.467352,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,A1 - Spanish Town Rd,18.013884,-76.842382,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,T1 (W) - East West Hwy,17.955989,-77.027707,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,Slipe Pen Rd,17.985533,-76.792104,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,Barbican Rd,18.030714,-76.773534,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,A3 - Ocho Rios Byp,18.406928,-77.103709,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,T1 (W) - East West Hwy,17.92326,-77.166219,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,A1 - Ewarton to Mount Diablo Rd,18.200506,-77.092088,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,Miramar Dr,17.881315,-76.405918,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,T3 - Edward Seaga Highway,18.06311,-76.991412,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,Fairdene Ave,18.043013,-76.818873,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,B8 - Anchovy to Shettlewood Rd,18.369766,-77.932569,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,A1 - Lucea to Green Island Rd,18.389244,-78.27403,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,A2 (W) - Melrose Hill Byp,18.056568,-77.446767,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,King St,17.981508,-76.791247,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,A1 - North Coast Hwy,18.466509,-77.310657,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,T1 (E) - East West Hwy,17.975178,-76.946472,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,T3 - Edward Seaga Highway,18.379178,-77.159454,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,A2 - Tombstone to Gutters Rd,18.055406,-77.707241,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,A1 (W) - Nelson Mandela Highway,18.01401,-76.890806,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,B5 - Shooters Hill to Caines Shop Rd,18.142294,-77.493522,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,A1 - North Coast Highway,18.459712,-77.405645,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,T1 (E) - East West Hwy,17.973466,-76.957667,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,T1 (W) - East West Hwy,17.939769,-77.241287,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,T3 - Edward Seaga Highway,18.046326,-76.979929,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,A2 (W) - Melrose Hill Byp,18.062841,-77.452014,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,T3 - Edward Seaga Highway,18.026735,-76.93162,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,A4 - Fair Prospect to Folly Rd,18.127665,-76.333961,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,T1 (W) - East West Hwy,17.953471,-77.044506,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,Passage Fort Dr W,17.982183,-76.874039,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,A1 - Kew Bridge to Great River Rd,18.453663,-78.036657,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
2 jun 2025,JM,Montego Bay Sport Complex,18.459942,-77.924019,2 Jun 2025,2025-06-02,1748822400.0,0,Monday,6,23
